trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.9, 'e': 0.5748405080577811}",20,13,2.8585890466736865,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.5713914650094344}",20,0,-15.495850898751101,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.9, 'e': 0.5679631162193778}",20,8,-1.776345116789831,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.5645553375220616}",25,2,-22.819655533105827,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.5611680054969291}",25,0,-102.71745686819594,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
97,False,"{'a': 0.9, 'e': 0.5578009974639475}",20,11,8.046364316341698,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.5544541914791639}",20,3,-56.58194541003438,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.9, 'e': 0.5511274663302889}",20,0,11.789143585844283,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.9, 'e': 0.5478207015323071}",20,0,-129.7557378477761,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
101,False,"{'a': 0.9, 'e': 0.5445337773231133}",25,6,-30.62232427929067,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.5412665746591746}",20,0,-7.232978637122782,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.9, 'e': 0.5380189752112196}",20,3,-13.638478559828405,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 0.5347908613599522}",25,15,-8.818394159854202,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 0.5315821161917925}",25,2,-101.56162034301884,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 1}",1
106,False,"{'a': 0.9, 'e': 0.5283926234946418}",20,0,-50.99182203527352,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.9, 'e': 0.5252222677536739}",20,8,-3.8952964021386913,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.5220709341471519}",30,7,-85.58126838455864,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
109,False,"{'a': 0.9, 'e': 0.518938508542269}",25,0,13.449591214448084,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.9, 'e': 0.5158248774910154}",25,3,-29.10129919841979,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.5127299282260692}",25,0,-87.137204748837,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.9, 'e': 0.5096535486567129}",20,0,-17.347246897525782,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.9, 'e': 0.5065956273647726}",20,0,-66.55787715034674,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
114,False,"{'a': 0.9, 'e': 0.5035560536005839}",30,0,-116.01254264328004,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.9, 'e': 0.5005347172789804}",20,0,-53.729253404180454,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
116,False,"{'a': 0.9, 'e': 0.4975315089753065}",25,0,15.398757260950392,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.9, 'e': 0.4945463199214547}",20,8,-46.436700708490385,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.9, 'e': 0.4915790420019259}",20,9,-8.287269363934412,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.4886295677499144}",25,0,-91.41985756021226,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.48569779034341487}",20,7,-26.108318636554234,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.4827836036013544}",30,0,-87.57798403263423,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
122,False,"{'a': 0.9, 'e': 0.47988690197974626}",20,0,-41.6589364910274,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
123,False,"{'a': 0.9, 'e': 0.4770075805678678}",25,0,-2.8843734564449726,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.9, 'e': 0.4741455350844606}",30,13,-69.0599193242986,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
125,False,"{'a': 0.9, 'e': 0.4713006618739538}",25,0,-87.38226217742967,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.4684728579027101}",20,0,-73.16374681779715,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
127,False,"{'a': 0.9, 'e': 0.46566202075529384}",25,12,-51.50667564950952,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
128,False,"{'a': 0.9, 'e': 0.4628680486307621}",25,12,22.181441662201582,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.4600908403389775}",30,0,-130.2956936246392,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
130,False,"{'a': 0.9, 'e': 0.45733029529694363}",30,0,-86.42082699348411,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
131,False,"{'a': 0.9, 'e': 0.45458631352516193}",20,13,9.240110496151944,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.451858795644011}",25,20,10.56866839622998,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.4491476428701469}",30,13,3.4280683855043836,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.446452757012926}",35,2,-101.0882878895483,"{0: 26, 1: 1, 2: 3, 3: 1, 4: 2}",1
135,False,"{'a': 0.9, 'e': 0.44377404047084845}",20,0,-5.0960476051883585,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.9, 'e': 0.44111139622802337}",25,6,-99.20106800790731,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
137,False,"{'a': 0.9, 'e': 0.4384647278506552}",20,0,-68.81672829020776,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
138,False,"{'a': 0.9, 'e': 0.4358339394835513}",30,13,-30.4423294988347,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.9, 'e': 0.43321893584665}",25,8,-0.3432699277409563,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.4306196222315701}",25,6,-52.58883881750449,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
141,False,"{'a': 0.9, 'e': 0.4280359044981807}",20,0,-63.512917042299954,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.9, 'e': 0.4254676890711916}",20,5,5.920496558552658,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.42291488293676444}",20,0,1.4848909724951374,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.9, 'e': 0.42037739363914384}",25,8,22.87520622014322,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.417855129277309}",25,8,-37.02459126733101,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.4153479985016451}",20,0,-36.580685167131485,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
147,False,"{'a': 0.9, 'e': 0.41285591051063525}",25,14,-21.660744201373653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.9, 'e': 0.4103787750475714}",20,2,-10.207914656470345,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.407916502397286}",25,9,-38.531064938877016,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.40546900338290226}",35,23,-3.0965004184603107,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.4030361893626049}",25,15,3.513465845317355,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.40061797222642925}",20,0,-3.2875766536204267,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 0.9, 'e': 0.39821426439307067}",30,16,11.202773574478119,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.39582497880671225}",20,0,-63.59214789661824,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
155,False,"{'a': 0.9, 'e': 0.393450028933872}",25,0,-36.88524364590635,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.9, 'e': 0.39108932876026875}",20,0,-1.581917152560614,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
157,False,"{'a': 0.9, 'e': 0.3887427927877071}",25,14,2.7252114716334788,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.38641033603098085}",25,0,-29.030033738729344,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
159,False,"{'a': 0.9, 'e': 0.384091874014795}",20,2,-54.06301026311009,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
160,False,"{'a': 0.9, 'e': 0.3817873227707062}",20,0,-62.88368391384424,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
161,False,"{'a': 0.9, 'e': 0.379496598834082}",25,2,18.681537998640394,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.3772196192410775}",20,5,-79.24152548189943,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
163,False,"{'a': 0.9, 'e': 0.37495630152563103}",20,0,-21.306577881346563,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
164,False,"{'a': 0.9, 'e': 0.3727065637164772}",25,6,8.238501755025732,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.37047032433417837}",20,1,-21.11986784592499,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.3682475023881733}",30,7,-3.885960556343178,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.3660380173738442}",20,12,7.953275482196866,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.36384178926960115}",20,14,4.122766021894652,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.36165873853398356}",25,15,9.12564198253853,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.3594887861027797}",20,2,-27.36749302299377,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.9, 'e': 0.35733185338616297}",20,0,-58.78201782703189,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.9, 'e': 0.355187862265846}",30,19,10.351992757329427,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.35305673509225094}",20,9,11.77436975361488,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.3509383946816974}",35,19,-30.820966452188966,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.9, 'e': 0.3488327643136072}",20,11,3.8461027012520965,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.3467397677277256}",25,0,-60.746929606236,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
177,False,"{'a': 0.9, 'e': 0.3446593291213592}",20,0,-32.78210341854871,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.9, 'e': 0.3425913731466311}",25,14,5.090616756929416,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.3405358249077513}",25,2,-13.061207511955898,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.33849260995830477}",25,5,24.862631511725244,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.33646165429855496}",35,3,-26.16524478537827,"{0: 27, 1: 3, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.9, 'e': 0.3344428843727636}",20,12,15.250702533192706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.33243622706652703}",25,19,13.311922964585897,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
